"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN005010600","AHMADABAD, IN","1960-10-31","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-01","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-04","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-05","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-06","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-07","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-09","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-10","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-11","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-15","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-17","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-18","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-20","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-23","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-27","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-29","0.00",,,
"IN005010600","AHMADABAD, IN","1960-11-30","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-01","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-04","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-05","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-06","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-07","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-09","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-10","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-11","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-15","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-17","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-18","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-20","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-23","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-27","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-29","0.00",,,
"IN005010600","AHMADABAD, IN","1960-12-30","0.10",,,
"IN005010600","AHMADABAD, IN","1960-12-31","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-01","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-02","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-03","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-04","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-05","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-06","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-07","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-08","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-09","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-10","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-11","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-12","0.00","62",,"45"
"IN005010600","AHMADABAD, IN","1961-01-13","0.00","66",,"55"
"IN005010600","AHMADABAD, IN","1961-01-14","0.00","65",,"59"
"IN005010600","AHMADABAD, IN","1961-01-15","0.00","69",,"55"
"IN005010600","AHMADABAD, IN","1961-01-16","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-17","0.00","73",,"61"
"IN005010600","AHMADABAD, IN","1961-01-18","0.00","70",,"61"
"IN005010600","AHMADABAD, IN","1961-01-19","0.00","71",,"55"
"IN005010600","AHMADABAD, IN","1961-01-20","0.00","71",,"55"
"IN005010600","AHMADABAD, IN","1961-01-21","0.00","68",,"54"
"IN005010600","AHMADABAD, IN","1961-01-22","0.00","71",,"54"
"IN005010600","AHMADABAD, IN","1961-01-23","0.00","66",,"55"
"IN005010600","AHMADABAD, IN","1961-01-24","0.00","74",,"59"
"IN005010600","AHMADABAD, IN","1961-01-25","0.00","69",,"61"
"IN005010600","AHMADABAD, IN","1961-01-26","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-27","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-28","0.00",,,
"IN005010600","AHMADABAD, IN","1961-01-29","0.00","65",,"54"
"IN005010600","AHMADABAD, IN","1961-01-30","0.00","68",,"50"
"IN005010600","AHMADABAD, IN","1961-01-31","0.00","68","82","61"
"IN005010600","AHMADABAD, IN","1961-02-01","0.00","68",,"61"
"IN005010600","AHMADABAD, IN","1961-02-02","0.01","69",,"57"
"IN005010600","AHMADABAD, IN","1961-02-03","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-04","0.04","68",,"63"
"IN005010600","AHMADABAD, IN","1961-02-05","0.01",,,
"IN005010600","AHMADABAD, IN","1961-02-06","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-07","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-08","0.00","58",,"39"
"IN005010600","AHMADABAD, IN","1961-02-09","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-10","0.00","64",,"54"
"IN005010600","AHMADABAD, IN","1961-02-11","0.00","66",,"50"
"IN005010600","AHMADABAD, IN","1961-02-12","0.00","65",,"48"
"IN005010600","AHMADABAD, IN","1961-02-13","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-14","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-15","0.00","67",,"50"
"IN005010600","AHMADABAD, IN","1961-02-16","0.00","69",,"50"
"IN005010600","AHMADABAD, IN","1961-02-17","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-18","0.00","73",,"57"
"IN005010600","AHMADABAD, IN","1961-02-19","0.00","74",,"59"
"IN005010600","AHMADABAD, IN","1961-02-20","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-21","0.00","71",,"59"
"IN005010600","AHMADABAD, IN","1961-02-22","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-23","0.00","74",,"59"
"IN005010600","AHMADABAD, IN","1961-02-24","0.00","72",,"59"
"IN005010600","AHMADABAD, IN","1961-02-25","0.00","74",,"59"
"IN005010600","AHMADABAD, IN","1961-02-26","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-27","0.00",,,
"IN005010600","AHMADABAD, IN","1961-02-28","0.00","71",,"57"
"IN005010600","AHMADABAD, IN","1961-03-01","0.00","78",,"63"
"IN005010600","AHMADABAD, IN","1961-03-02","0.00",,,
